4M,5M,1+4M,1+5M,2+4M,2+5M,3+4M,3+5M,4+5M,P8,A9,1+P8,1+A9,2+P8,2+A9,4-10M,5-12M,NC (8+)
,,,E: R'/E',,l U': R'/E',,,,"U' S' U, L","l': E, L U L'","l: U, R E' R'",,,,,,
,,,E': L'/E,,S' U: R'/E',,,,"R', U S U'","u: R' U' R, E","l: R E' R', U",,,,,,
,,,E': L/E,,S' U: R/E',,,,"U S U', R'","U: R' U' R, E'","r': U', L' E L",,,,,,
,,,f': R/S,,R u: R'/E,,,,"E, R U R'","u': L U L', E'","r': L' E L, U'",,,,,,
,,,f': R'/S,,R u: R/E,,,,"R U R', E","U': L U L', E","U: L' F' L, S",,,,,,
,,,D': R/E',,R' U: R'/E,,,,"E', L' U' L","l: S', l F' l'","U: S, L' F' L",,,,,,
,,,D': R'/E',,R' U: R/E,,,,"L' U' L, E'","l: l F' l', S'","U': R F R', S'",,,,,,
,,,R': U'/M,,R U: R'/E,,,,"E', L U' L'","r': S, r' F r","U': S', R F R'",,,,,,
,,,R': U/M,,R U: R/E,,,,"L U' L', E'","r': r' F r, S","r: U' R' U, M'",,,,,,
,,,u2: L/E',,R' U: R'/E',,,,"E, R' U R","L: S', L F L'","r: M', U' R' U",,,,,,
,,,u2: L'/E',,R' U: R/E',,,,"R' U R, E","L: L F L', S'","U: R F R', S'",,,,,,
,,,u2: R'/E,,U D': R'/E,,,,"L B L', S","R': S, R' F' R","U: S', R F R'",,,,,,
,,,u2: R/E,,U D': R/E,,,,"S, L B L'","R': R' F' R, S","U': L' F' L, S",,,,,,
,,,D: R/E',,U' D: L/E',,,,"R' B' R, S'","u': R U R', E'","U': S, L' F' L",,,,,,
,,,D: R'/E',,U' D: L'/E',,,,"S', R' B' R","U': R U R', E","E: F2, R S' R'",,,,,,
,,,R': U/M',,U D: R'/E,,,,"M, U' L' U","u: L' U' L, E","E: R S' R', F2",,,,,,
,,,R': U'/M',,U D: R/E,,,,"U' L' U, M","U: L' U' L, E'","l2: E', L' U L",,,,,,
,,,U2: L'/E,,U' S: U'/M',,,,"M, U R U'","M: U, R' E R","l2: L' U L, E'",,,,,,
,,,U2: L/E,,U S': U/M',,,,"U R U', M","r': E, R U R'","r2: E, R U' R'",,,,,,
,,,U2: R/E',,U S': U'/M',,,,"M2, U R U'","M: U', L E' L'","r2: R U' R', E",,,,,,
,,,U2: R'/E',,r' U: R/S,,,,"U R U', M2","l: E', L' U' L","l': R' S2 R, U",,,,,,
,,,E2: R'/E,,S U: R'/E',,,,"M, U' L U","U: M', U L' U'","l': U, R' S2 R",,,,,,
,,,E2: R/E,,S U: R/E',,,,"U' L U, M","U2: L', U' M' U","S': U M' U', R",,,,,,
,,,E2: L/E',,R U: R/E',,,,"M, U R' U'","U': M', U' R U","S': R, U M' U'",,,,,,
,,,E2: L'/E',,R U: R'/E',,,,"U R' U', M","U2: R, U M' U'","S: U' M' U, L'",,,,,,
,,,S': U/M,,U D': R/E',,,,"M2, U R' U'","U: R U' R', E'","S: L', U' M' U",,,,,,
,,,S': U'/M,,U D': R'/E',,,,"U R' U', M2","u: R U' R', E","R: S, U R' U'",,,,,,
,,,S: U'/M,,U' R': U'/M,,,,"R E' R', U2","U': L' U L, E","R: U R' U', S",,,,,,
,,,S: U/M,,U' R': U/M,,,,"U2, R E' R'","u': L' U L, E'","L': S', U L U'",,,,,,
,,,L2: U'/M,,U D: R/E',,,,"R' E R, U2","u': R' U R, E'","L': U L U', S'",,,,,,
,,,L2: U/M,,U D: R'/E',,,,"U2, R' E R","U': R' U R, E","S': R, U' M U",,,,,,
,,,R2: U/M,,U' S: U'/M,,,,"U2, L E L'","u: L U' L', E","S': U' M U, R",,,,,,
,,,R2: U'/M,,U' S: U/M,,,,"L E L', U2","U: L U' L', E'","S: L', U M U'",,,,,,
,,,L2: U'/M',,U S': U/M,,,,"R E2 R', U2","U': M, U' L U","S: U M U', L'",,,,,,
